Canton,Voter registrations,Vote count,Participation %,Valid votes,Yes,No,yes_percentage
Suisse,5641040,2796897,49.58,2747948,1384586,1363362,50.39
Zï¿½rich,976490,509297,52.16,503923,274702,229221,54.51
Bern / Berne,750745,358855,47.80,354158,171771,182387,48.50
Luzern,288363,153604,53.27,151603,80261,71342,52.94
Uri,27226,12731,46.76,12567,5109,7458,40.65
Schwyz,109052,62804,57.59,62475,25512,36963,40.84
Obwalden,27787,15161,54.56,14763,6286,8477,42.58
Nidwalden,32118,17917,55.78,17663,8221,9442,46.54
Glarus,26836,12159,45.31,12008,4965,7043,41.35
Zug,79496,43442,54.65,43185,22818,20367,52.84
Fribourg / Freiburg,219163,100846,46.01,98853,49792,49061,50.37
Solothurn,184066,95137,51.69,94234,44682,49552,47.42
Basel-Stadt,114378,55409,48.44,54544,30976,23568,56.79
Basel-Landschaft,192244,96303,50.09,93940,46245,47695,49.23
Schaffhausen,54628,37260,68.21,35447,15547,19900,43.86
Appenzell Ausserrhoden,39526,21896,55.40,21652,9949,11703,45.95
Appenzell Innerrhoden,12385,6006,48.49,5859,2644,3215,45.13
St. Gallen,334024,169061,50.61,168040,79141,88899,47.10
Graubï¿½nden / Grigioni / Grischun,142771,67835,47.51,66445,32065,34380,48.26
Aargau,447798,232292,51.87,230470,113121,117349,49.08
Thurgau,182141,96916,53.21,94526,40920,53606,43.29
Ticino,226088,116818,51.67,113239,58301,54938,51.48
Vaud,482162,218234,45.26,211784,121113,90671,57.19
Valais / Wallis,235721,109326,46.38,106552,47148,59404,44.25
Neuchï¿½tel,115110,45277,39.33,44402,21100,23302,47.52
Genï¿½ve,285837,119086,41.66,112906,62308,50598,55.19
Jura,54885,23225,42.32,22710,9889,12821,43.54